listing_id,pf_id,title,description,property_type,property_type_id,category_id,category_name,offering_type,bedrooms,bedrooms_value,bathrooms,bathrooms_value,rooms,rooms_value,completion_status,furnished,utilities_price_type,listed_date,last_refreshed_at,rental_availability_date,age,share_url,share_url_translated,video_id,view_360,plot_size,images_count,zone_name,agent_license_no,payment_methods,price_value,price_currency,price_period,price_is_hidden,price_per_area_price,price_per_area_unit,price_per_area_plot,mortgage_cashback,size_value,size_unit,location_id,location_full_name,latitude,longitude,location_slug,location_type,location_name,location_path_name,region_id,region_name,region_slug,area_id,area_name,area_slug,community,sub_community,agent_id,agent_image,agent_is_super_agent,agent_name,agent_email,agent_slug,agent_whatsapp_response_time,agent_total_properties,agent_position,agent_years_experience,agent_transactions_count,agent_languages,contact_phone,contact_whatsapp,contact_email,broker_id,broker_name,broker_address,broker_email,broker_phone,broker_slug,broker_total_properties,broker_license_number,broker_is_exclusive,broker_total_agents,broker_total_super_agents,rera_number,rera_authority_name,rera_permit_url,is_verified,is_direct_from_developer,is_new_construction,is_available,is_featured,is_premium,is_new_insert,is_community_expert,is_cts,is_exclusive,is_broker_project_property,is_smart_ad,is_spotlight_listing,is_claimed_by_agent,is_under_offer_by_competitor,is_pf_exclusive,is_fhm,is_great_value,is_high_demand,is_luxe,listing_level,listing_level_label,lead_value,qs,amenity_codes,amenity_names,image_url_first,has_price_trends,scraped_at,detail_scraped_at,developer_id,developer_name,developer_logo_url,construction_phase,delivery_date,down_payment_percentage,hotness_level,starting_price,min_resale_price,stock_availability,payment_plans,property_types_list,price_range_min,price_range_max,sales_phase,weight_ranking
9e61ed6e-85c4-4082-93c8-f29de0ffa6cb,9e61ed6e-85c4-4082-93c8-f29de0ffa6cb,Seef Avenue II,,apartment,,new_projects,New Projects,sale,1|2|3,1|2|3,,,,,completed,,,,2024-12-31T14:24:26.577Z,,,/en/new-projects/kooheji-development/seef-avenue-ii,,,,,4,,,10/70/20,600000,BHD,,false,,,,,,,37,"Capital Governorate,Seef",26.24,50.537,,,Seef,"Capital Governorate,Seef",,Capital Governorate,,,Seef,,,,,,,Kooheji Development,,,,,,,,,,,,4b598c77-f777-4777-b0d3-1b3aec4a8885,Kooheji Development,,,,,,,,,,,,,,true,false,true,,,,,,,,,,,,,,,,,,,,98,5b340879-c73f-4cfb-a8ed-b5ba0a84af6e|76880816-6a3f-4449-8fb8-f428517393d3|6cfbfc54-2b0f-4893-8355-77f17639830f,Indoor  Pool|Gymnasium|Barbecue area,https://new-projects-media.propertyfinder.com/project/9e61ed6e-85c4-4082-93c8-f29de0ffa6cb/gallery/image/wJS175s7MmN_r0L1IWpMlWy2vjBR1GPj4SORdlIZT0o=/medium.webp,,2026-08-30T22:37:12.054762+00:00,,4b598c77-f777-4777-b0d3-1b3aec4a8885,Kooheji Development,,completed,2024-12-31T14:24:26.577Z,10,98,600000,,available,10/70/20,apartment,600000,1800000,,100
50d6a9f7-a571-4300-8d91-fcc88b271b31,50d6a9f7-a571-4300-8d91-fcc88b271b31,Catamaran Verandas,,apartment,,new_projects,New Projects,sale,1|2|3,1|2|3,,,,,under_construction,,,,2027-03-30T23:50:57.093Z,,,/en/new-projects/al-yal-real-estate-company-w-l-l/catamaran-verandas,,,,,5,,,,0,BHD,,true,,,,,,,37,"Capital Governorate,Seef",26.24,50.537,,,Seef,"Capital Governorate,Seef",,Capital Governorate,,,Seef,,,,,,,AL YAL REAL ESTATE COMPANY W.L.L,,,,,,,,,,,,89554db5-2554-4344-9b04-0632b3118d94,AL YAL REAL ESTATE COMPANY W.L.L,,,,,,,,,,,,,,true,true,true,,,,,,,,,,,,,,,,,,,,98,5b340879-c73f-4cfb-a8ed-b5ba0a84af6e|9f34a8dd-d035-41d6-96a0-363d319a0311|76880816-6a3f-4449-8fb8-f428517393d3|6cfbfc54-2b0f-4893-8355-77f17639830f|5c1ee84f-2b12-49f0-8b7e-78a2490e7695,Indoor  Pool|Parking|Gymnasium|Barbecue area|Hotel and Spa Facilities,https://new-projects-media.propertyfinder.com/project/50d6a9f7-a571-4300-8d91-fcc88b271b31/gallery/image/vtqFcNrqce9icdTVGDxzYgVCKkObWbesjNGsM6R2_14=/medium.webp,,2026-08-30T22:37:12.054762+00:00,,89554db5-2554-4344-9b04-0632b3118d94,AL YAL REAL ESTATE COMPANY W.L.L,,under_construction,2027-03-30T23:50:57.093Z,,98,0,,available,,apartment,,,,100
f8ac35a6-c702-4f21-9640-35e21e52ca08,f8ac35a6-c702-4f21-9640-35e21e52ca08,Tivoli Residences,,apartment|penthouse|duplex,,new_projects,New Projects,sale,1|2|3,1|2|3,,,,,under_construction,,,,2026-09-30T07:16:29.418Z,,,/en/new-projects/edamah/tivoli-residences,,,,,6,,,10/90|10/40/50|50/40/10|10/20/70,97000,BHD,,false,,,,,,,313,"Southern Governorate,Zallaq,Tivoli Residences",25.990212,50.4630732,,,Tivoli Residences,"Southern Governorate,Zallaq,Tivoli Residences",,Southern Governorate,,,Zallaq,,,,,,,Edamah,,,,,,,,,,,,0e8fb57f-42da-480f-a6fb-bcb05688bc75,Edamah,,,,,,,,,,,,,,true,true,true,,,,,,,,,,,,,,,,,,,,93,845dae11-778b-4bf5-921d-c12244065b57|f99466e9-287e-431f-8d55-79cdf3b26f57|c3d43f15-a8a0-42cc-b011-61237e344757|01224a56-7bae-4aca-9983-4d9ba9dcbf3d|972b457a-c4f7-4e6e-bd62-050e69453906|2db6dfb2-8b32-4b3c-ad6c-737dc7c0f2c2|fec93bb1-f6d0-4baf-8f88-25318eeb67be|3de72a14-b10b-4c6a-958f-df7e1e251794|6cfbfc54-2b0f-4893-8355-77f17639830f|b75353af-905c-42ef-89a8-30a15476101f,Azur Beach Club|Beach Surf Park|Retail Shops|Multi‑purpose Hall|Underground Parking|Fully Equipped Gym|Landscaped Courtyard|Rooftop Pool|Barbecue area|Kids Area,https://new-projects-media.propertyfinder.com/project/f8ac35a6-c702-4f21-9640-35e21e52ca08/gallery/image/w32pVpPgmJ17-IgcCJRwaaw6FqRYbBQnY6g-7pBBSMY=/medium.webp,,2026-08-30T22:37:12.054762+00:00,,0e8fb57f-42da-480f-a6fb-bcb05688bc75,Edamah,,under_construction,2026-09-30T07:16:29.418Z,10,93,97000,,available,10/90|10/40/50|50/40/10|10/20/70,apartment|penthouse|duplex,97000,401000,,100
f2bacaa2-23ec-4af7-a15f-bb9079da094c,f2bacaa2-23ec-4af7-a15f-bb9079da094c,Plumeria Springs,,villa,,new_projects,New Projects,sale,5,5,,,,,under_construction,,,,2027-08-31T07:44:35.482Z,,,/en/new-projects/plumeria-properties/plumeria-springs,,,,,5,,,10,639000,BHD,,false,,,,,,,48,"Northern Governorate,Janabiya",26.18594251,50.46711445,,,Janabiya,"Northern Governorate,Janabiya",,Northern Governorate,,,Janabiya,,,,,,,Plumeria Properties,,,,,,,,,,,,2af74648-7ed8-40ba-baeb-4f2347fbe017,Plumeria Properties,,,,,,,,,,,,,,true,true,true,,,,,,,,,,,,,,,,,,,,92,9f34a8dd-d035-41d6-96a0-363d319a0311|76880816-6a3f-4449-8fb8-f428517393d3|f368d155-8015-4ae4-9072-bad780a574a7|b75353af-905c-42ef-89a8-30a15476101f|5b09f007-53fb-4dd9-91b5-0e2d412d492b,Parking|Gymnasium|Cafe and Restaurants|Kids Area|Well-being and Fitness,https://new-projects-media.propertyfinder.com/project/f2bacaa2-23ec-4af7-a15f-bb9079da094c/gallery/image/k4BaUaNimTc_DkDds_jW1k1bWkZ09Qb9SMEiwfIaB0M=/medium.webp,,2026-08-30T22:37:12.054762+00:00,,2af74648-7ed8-40ba-baeb-4f2347fbe017,Plumeria Properties,,under_construction,2027-08-31T07:44:35.482Z,10,92,639000,,available,10,villa,639000,665000,,100
20949283-47f5-4ce7-9a1b-242677d0940c,20949283-47f5-4ce7-9a1b-242677d0940c,Crestview Tower,,apartment,,new_projects,New Projects,sale,3,3,,,,,completed,,,,2026-01-01T09:09:17.078Z,,,/en/new-projects/esnad-group-holding/crestview,,,,,4,,,10,123000,BHD,,false,,,,,,,32,"Muharraq Governorate,Hidd",26.2126337,50.6741875,,,Hidd,"Muharraq Governorate,Hidd",,Muharraq Governorate,,,Hidd,,,,,,,Esnad Group Holding,,,,,,,,,,,,0e0a784e-05a1-458a-9467-6a887772fd6f,Esnad Group Holding,,,,,,,,,,,,,,true,false,true,,,,,,,,,,,,,,,,,,,,90,0c20077b-a9e9-48ed-b6b4-480a658b83a7|76880816-6a3f-4449-8fb8-f428517393d3|5c1ee84f-2b12-49f0-8b7e-78a2490e7695|82c3d56b-2e1a-46db-9a00-1ec29ae2d272,Playroom & Lounge|Gymnasium|Hotel and Spa Facilities|Indoor Swimming Pool,https://new-projects-media.propertyfinder.com/project/20949283-47f5-4ce7-9a1b-242677d0940c/gallery/image/5plm1UadkNUJ9TL21c6X9EyNzOgmrI_PshnDsgGi6Mo=/medium.webp,,2026-08-30T22:37:12.054762+00:00,,0e0a784e-05a1-458a-9467-6a887772fd6f,Esnad Group Holding,,completed,2026-01-01T09:09:17.078Z,10,90,123000,,available,10,apartment,,,,100
7ee1c48d-0c46-4f43-8ec8-6728b4b48745,7ee1c48d-0c46-4f43-8ec8-6728b4b48745,The District Boulevard,,villa,,new_projects,New Projects,sale,5|6,5|6,,,,,under_construction,,,,2028-03-31T17:34:28.99Z,,,/en/new-projects/janabiya-gate-real-estate/the-district-boulevard,,,,,8,,,10/40/50,0,BHD,,true,,,,,,,48,"Northern Governorate,Janabiya",26.18594251,50.46711445,,,Janabiya,"Northern Governorate,Janabiya",,Northern Governorate,,,Janabiya,,,,,,,Janabiya Gate Real Estate,,,,,,,,,,,,235b558b-3e85-4d39-b54b-3535e016f2ea,Janabiya Gate Real Estate,,,,,,,,,,,,,,true,true,true,,,,,,,,,,,,,,,,,,,,90,9f34a8dd-d035-41d6-96a0-363d319a0311|76880816-6a3f-4449-8fb8-f428517393d3|b75353af-905c-42ef-89a8-30a15476101f|5b09f007-53fb-4dd9-91b5-0e2d412d492b|82c3d56b-2e1a-46db-9a00-1ec29ae2d272,Parking|Gymnasium|Kids Area|Well-being and Fitness|Indoor Swimming Pool,https://new-projects-media.propertyfinder.com/project/7ee1c48d-0c46-4f43-8ec8-6728b4b48745/gallery/image/tQ4bkvv1pVPn_RR2lruiLnEbw5TMzLV2UgOlKpQsiKI=/medium.webp,,2026-08-30T22:37:12.054762+00:00,,235b558b-3e85-4d39-b54b-3535e016f2ea,Janabiya Gate Real Estate,,under_construction,2028-03-31T17:34:28.99Z,10,90,0,,available,10/40/50,villa,,,,100
66917018-8dc9-48a9-9aa2-2c79faab6234,66917018-8dc9-48a9-9aa2-2c79faab6234,Palace Residences,,apartment,,new_projects,New Projects,sale,0|1|2|3,0|1|2|3,,,,,under_construction,,,,2027-06-29T21:29:02.525Z,,,/en/new-projects/eagle-hills/palace-residences,,,,,5,,,10/70/20,101000,BHD,,false,,,,,,,259,"Muharraq Governorate,Diyar Al Muharraq,Marassi Al Bahrain",26.303447,50.6461278,,,Marassi Al Bahrain,"Muharraq Governorate,Diyar Al Muharraq,Marassi Al Bahrain",,Muharraq Governorate,,,Diyar Al Muharraq,,,,,https://new-projects-media.propertyfinder.com/developer/94bf3071-6263-4067-9577-01e31837d206/logo/image/YnWRLABXY2DTBepZLTsK1DGtCdwkMC1W5GFPwfgIopg=/original.png,,Eagle Hills,,,,,,,,,,,,94bf3071-6263-4067-9577-01e31837d206,Eagle Hills,,,,,,,,,,,,,,true,true,true,,,,,,,,,,,,,,,,,,,,87,1a5c93fb-9488-4760-bbca-4014fdc3287a|458497f3-d736-407d-a369-9ac5b10d65db|9f34a8dd-d035-41d6-96a0-363d319a0311|76880816-6a3f-4449-8fb8-f428517393d3|f368d155-8015-4ae4-9072-bad780a574a7|b75353af-905c-42ef-89a8-30a15476101f|82c3d56b-2e1a-46db-9a00-1ec29ae2d272,Infinity Pool|Lounge|Parking|Gymnasium|Cafe and Restaurants|Kids Area|Indoor Swimming Pool,https://new-projects-media.propertyfinder.com/project/66917018-8dc9-48a9-9aa2-2c79faab6234/gallery/image/9i3Yz95ESUN2oiUnZwAL7DDtzYmiWA_v1wLL7sh3VtA=/medium.webp,,2026-08-30T22:37:12.054762+00:00,,94bf3071-6263-4067-9577-01e31837d206,Eagle Hills,https://new-projects-media.propertyfinder.com/developer/94bf3071-6263-4067-9577-01e31837d206/logo/image/YnWRLABXY2DTBepZLTsK1DGtCdwkMC1W5GFPwfgIopg=/original.png,under_construction,2027-06-29T21:29:02.525Z,10,87,101000,,available,10/70/20,apartment,101000,320000,,100
01980ea3-2fc6-4cff-8b49-80c1ecc92042,01980ea3-2fc6-4cff-8b49-80c1ecc92042,Marassi Views,,apartment,,new_projects,New Projects,sale,0|1|2|3|4,0|1|2|3|4,,,,,under_construction,,,,2028-03-31T20:19:11.931Z,,,/en/new-projects/eagle-hills/marassi-views,,,,,3,,,10,67888,BHD,,false,,,,,,,259,"Muharraq Governorate,Diyar Al Muharraq,Marassi Al Bahrain",26.303447,50.6461278,,,Marassi Al Bahrain,"Muharraq Governorate,Diyar Al Muharraq,Marassi Al Bahrain",,Muharraq Governorate,,,Diyar Al Muharraq,,,,,https://new-projects-media.propertyfinder.com/developer/94bf3071-6263-4067-9577-01e31837d206/logo/image/YnWRLABXY2DTBepZLTsK1DGtCdwkMC1W5GFPwfgIopg=/original.png,,Eagle Hills,,,,,,,,,,,,94bf3071-6263-4067-9577-01e31837d206,Eagle Hills,,,,,,,,,,,,,,true,true,true,,,,,,,,,,,,,,,,,,,,87,5b340879-c73f-4cfb-a8ed-b5ba0a84af6e|1a5c93fb-9488-4760-bbca-4014fdc3287a|9f34a8dd-d035-41d6-96a0-363d319a0311|76880816-6a3f-4449-8fb8-f428517393d3|b75353af-905c-42ef-89a8-30a15476101f,Indoor  Pool|Infinity Pool|Parking|Gymnasium|Kids Area,https://new-projects-media.propertyfinder.com/project/01980ea3-2fc6-4cff-8b49-80c1ecc92042/gallery/image/yLUkVe8qu7t4wMYoS7gbiU3RMC-e3D0caKIRJGTF0IU=/medium.webp,,2026-08-30T22:37:12.054762+00:00,,94bf3071-6263-4067-9577-01e31837d206,Eagle Hills,https://new-projects-media.propertyfinder.com/developer/94bf3071-6263-4067-9577-01e31837d206/logo/image/YnWRLABXY2DTBepZLTsK1DGtCdwkMC1W5GFPwfgIopg=/original.png,under_construction,2028-03-31T20:19:11.931Z,10,87,67888,,available,10,apartment,,,,100
cbbb29c9-8092-4a8f-9752-3011a6936369,cbbb29c9-8092-4a8f-9752-3011a6936369,Kadi Eco Tower,,apartment,,new_projects,New Projects,sale,0|1|2|3,0|1|2|3,,,,,under_construction,,,,2027-06-15T16:04:35.026Z,,,/en/new-projects/kadi-properties/kadi-eco-tower,,,,,4,,,10|40/60,29000,BHD,,false,,,,,,,26,"Capital Governorate,Al Juffair",26.211111,50.601111,,,Al Juffair,"Capital Governorate,Al Juffair",,Capital Governorate,,,Al Juffair,,,,,,,Kadi Properties,,,,,,,,,,,,7cc5d4c4-197f-4299-8793-46e7efc3e5df,Kadi Properties,,,,,,,,,,,,,,true,true,true,,,,,,,,,,,,,,,,,,,,83,76880816-6a3f-4449-8fb8-f428517393d3|05e2957e-7391-4a35-8c53-683d884ebcba|b75353af-905c-42ef-89a8-30a15476101f|5c1ee84f-2b12-49f0-8b7e-78a2490e7695|5b09f007-53fb-4dd9-91b5-0e2d412d492b|82c3d56b-2e1a-46db-9a00-1ec29ae2d272,Gymnasium|Cinema|Kids Area|Hotel and Spa Facilities|Well-being and Fitness|Indoor Swimming Pool,https://new-projects-media.propertyfinder.com/project/cbbb29c9-8092-4a8f-9752-3011a6936369/gallery/image/dbUwkE_X-QeL28rgPqwsjORC37URWc2hxDPrVpFtQzM=/medium.webp,,2026-08-30T22:37:12.054762+00:00,,7cc5d4c4-197f-4299-8793-46e7efc3e5df,Kadi Properties,,under_construction,2027-06-15T16:04:35.026Z,10,83,29000,,available,10|40/60,apartment,,,,100
df7f93ee-d1b9-4518-be0b-5a8eb9b92ca6,df7f93ee-d1b9-4518-be0b-5a8eb9b92ca6,Onyx Water Garden,,apartment,,new_projects,New Projects,sale,1|2,1|2,,,,,under_construction,,,,2028-12-31T00:34:43.97Z,,,/en/new-projects/kooheji-development/onyx-water-garden,,,,,3,,,,65000,BHD,,false,,,,,,,280,"Capital Governorate,Manama,Water Garden City",26.242602,50.553805,,,Water Garden City,"Capital Governorate,Manama,Water Garden City",,Capital Governorate,,,Manama,,,,,,,Kooheji Development,,,,,,,,,,,,4b598c77-f777-4777-b0d3-1b3aec4a8885,Kooheji Development,,,,,,,,,,,,,,true,true,true,,,,,,,,,,,,,,,,,,,,83,76880816-6a3f-4449-8fb8-f428517393d3|f368d155-8015-4ae4-9072-bad780a574a7|6cfbfc54-2b0f-4893-8355-77f17639830f|05e2957e-7391-4a35-8c53-683d884ebcba|b75353af-905c-42ef-89a8-30a15476101f|5b09f007-53fb-4dd9-91b5-0e2d412d492b|82c3d56b-2e1a-46db-9a00-1ec29ae2d272,Gymnasium|Cafe and Restaurants|Barbecue area|Cinema|Kids Area|Well-being and Fitness|Indoor Swimming Pool,https://new-projects-media.propertyfinder.com/project/df7f93ee-d1b9-4518-be0b-5a8eb9b92ca6/gallery/image/kJttJInAlZ12GjOxhmDdwv6oCbBWRmRzQjiMEh5sVVc=/medium.webp,,2026-08-30T22:37:12.054762+00:00,,4b598c77-f777-4777-b0d3-1b3aec4a8885,Kooheji Development,,under_construction,2028-12-31T00:34:43.97Z,,83,65000,,available,,apartment,58000,136000,,100
